id,name,blood_status,hair_color,eye_color,patronus,wand,occupation,loyalty,house
213,Cassandra,Half-blood (possibly),Blonde,Green,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
214,Hestia Carrow,Pure-blood or Half-blood,Brown,Blue-Grey,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlug Club', 'Slytherin', 'Slug Club', 'Carrow family']",Slytherins
215,Flora Carrow,Pure-blood or Half-blood,Brown,Blue-Grey,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlug Club', 'Slytherin', 'Slug Club', 'Carrow family']",Slytherins
216,Amycus Carrow,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core","['Professor of Dark Arts at Hogwarts (1997 - 1998)', 'Deputy Headmaster (1997 - 1998)']","['Carrow family', 'Death EatersLord Voldemort', 'Lord Voldemort', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
217,Alecto Carrow,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core materials","['Professor of Muggle Studies at Hogwarts (1997—1998)', 'Deputy Headmistress at Hogwarts (1997—1998)']","['Death EatersLord Voldemort', 'Lord Voldemort', 'Carrow family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
218,Elizabeth Burke,Pure-blood or Half-blood,Red,Brown,None,None,Headmistress of Hogwarts (before 1943),"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Burke family', 'Malfoy family']",Slytherins
219,Millicent Bulstrode,Half-blood,Black,None,None,"Unknown length, wood and core",None,"['Bulstrode family', 'Hogwarts School of Witchcraft and WizardrySlytherinInquisitorial Squad', 'Slytherin', 'Inquisitorial Squad']",Slytherins
220,Boy who owned a magic hamster,Half-blood or Pure-blood,Black,Dark,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
221,Cousin of a boy who failed Avifors Spell,None,Black,None,None,None,None,"['Slytherin', 'Slytherin']",Slytherins
222,Boy who attended Charm School,Half-blood (most likely),Blond,Blue,None,None,None,"['Charm School', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
223,Miles Bletchley,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team', 'Bletchley family']",Slytherins
224,Kevin Bletchley,None,Brown,Green,None,None,None,"['Slytherin Quidditch team', 'Bletchley family']",Slytherins
225,Walburga Black,Pure-blood,None,None,None,None,None,"['House of Black', 'Hogwarts School of Witchcraft and WizardrySlytherin ', 'Slytherin ', 'Death Eaters (indirectly)']",Slytherins
226,Regulus Arcturus Black,Pure-blood,Black,None,None,None,None,"['House of Black', 'Death Eaters (formerly)', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Slytherins
227,Orion Black,Pure-blood,None,None,None,None,None,"['House of Black', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Death Eaters (indirectly)']",Slytherins
228,Phineas Nigellus Black,Pure-blood,Black,"Dark, shrewd and narrow",None,None,Headmaster,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'House of Black']",Slytherins
229,Lucretia Prewett (née Black),Pure-blood,None,None,None,None,None,"['House of Black', 'Prewett family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
230,Charis Crouch (née Black),Pure-blood,None,None,None,None,None,"['House of Black', 'Crouch family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
231,Dorea Potter (née Black),Pure-blood,Blonde,None,None,None,None,"['House of Black', 'Potter family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
232,Cygnus Black,Pure-blood,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
233,Cedrella Weasley (née Black),Pure-blood,None,None,None,None,None,"['House of Black (disowned)', 'Weasley family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
234,Cassiopeia Black,Pure-blood,None,Brown,None,None,None,"['House of Black', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
235,Alphard Black,Pure-blood,None,None,None,None,None,"['House of Black (disowned posthumously)', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
236,Callidora Longbottom (née Black),Pure-blood,None,None,None,None,None,"['House of Black', 'Longbottom family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Slytherins
237,Avery,Pure-blood or Half-blood,None,None,None,None,None,"['Avery family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Death EatersLord Voldemort', 'Lord Voldemort']",Slytherins
238,Avery I,Pure-blood or Half-blood (likely),None,None,None,None,None,"['Avery family', ""Hogwarts School of Witchcraft and WizardrySlytherinTom Riddle's gangSlug Club"", ""SlytherinTom Riddle's gang"", ""Tom Riddle's gang"", 'Slug Club']",Slytherins
239,Duncan Ashe,None,None,None,None,None,None,"['Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Ashe family']",Slytherins
240,Alecto Carrow,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core materials","['Professor of Muggle Studies at Hogwarts (1997—1998)', 'Deputy Headmistress at Hogwarts (1997—1998)']","['Death EatersLord Voldemort', 'Lord Voldemort', 'Carrow family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Death_Eaters
241,Rodolphus Lestrange,Pure-blood,Dark,Dark,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Lestrange family', 'House of Black', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin']",Death_Eaters
242,Regulus Arcturus Black,Pure-blood,Black,None,None,None,None,"['House of Black', 'Death Eaters (formerly)', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team']",Death_Eaters
243,Thorfinn Rowle,Pure-blood or Half-blood,Blond,None,None,"Unknown length, wood and core",None,"['Rowle family', 'Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
244,Selwyn,Pure-blood,None,None,None,None,British Ministry of Magic employee,"['Death EatersLord Voldemort', 'Lord Voldemort', 'British Ministry of Magic']",Death_Eaters
245,Wilkes,None,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Death_Eaters
246,Walden Macnair,Pure-blood or Half-blood (most likely),Black,None,None,"Unknown length, wood and core",Executioner for the Committee for the Disposal of Dangerous Creatures at the Ministry of Magic (formerly),"['Death EatersLord Voldemort', 'Lord Voldemort', 'British Ministry of Magic (formerly)Committee for the Disposal of Dangerous Creatures (formerly)', 'Committee for the Disposal of Dangerous Creatures (formerly)']",Death_Eaters
247,Travers,Pure-blood or Half-blood,Grey,None,None,"Unknown length, wood and core",British Ministry of Magic official,"['Travers family', 'Death EatersLord Voldemort', 'Lord Voldemort', 'Death Eater controlled Ministry of Magic']",Death_Eaters
248,Pyrites,Pure-blood or Half-blood,None,None,None,None,None,"['Death EatersLord Voldemort', 'Lord Voldemort', 'Pyrites family']",Death_Eaters
249,Rabastan Lestrange,Pure-blood,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Lestrange family']",Death_Eaters
250,Lord Voldemort,Half-blood,Bald (formerly black),Scarlet (formerly dark brown),None,"['13½"", Yew, phoenix feather core', 'Elm, dragon heartstring (temporary)', 'Elder, 15"", Thestral tail hair core (Never Mastered, Temporary)']",Shop assistant at Borgin and Burkes (formerly),"['Death Eaters', 'Hogwarts School of Witchcraft and Wizardry (formerly)SlytherinSlug Club', 'Slytherin', 'Slug Club', 'British Ministry of Magic (only under his control)', 'Borgin and Burkes']",Death_Eaters
251,Nott,Pure-blood or Half-blood,None,None,None,None,None,"['Nott family', 'Hogwarts School of Witchcraft and Wizardry', 'Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
252,Peter Pettigrew,Half-blood or Pure-blood,"['Colourless and balding', 'Mousy brown (formerly)']",None,None,"['Unknown 1st wand', '13½"", Yew, phoenix feather (temporarily)', '9¼"", Chestnut, dragon heartstring']",None,"['Pettigrew family', 'Weasley family (as Scabbers) (formerly)', 'Hogwarts School of Witchcraft and Wizardry (formerly)GryffindorMarauders', 'GryffindorMarauders', 'Marauders', 'Order of the Phoenix (formerly, defected)', 'Lord Voldemort (formerly)Death Eaters (formerly, defected)', 'Death Eaters (formerly, defected)', 'The Cabal (formerly)']",Death_Eaters
253,Merula Snyde's mother,Pure-blood or Half-blood,None,None,None,None,None,"['Snyde family', 'Hogwarts School of Witchcraft and WizardrySlytherinFrog ChoirSlytherin Quidditch team', 'Slytherin', 'Frog Choir', 'Slytherin Quidditch team', 'Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
254,Merula Snyde's father,Pure-blood or Half-blood,None,None,None,None,None,"['Snyde family', 'Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch team', 'Slytherin', 'Slytherin Quidditch team', 'Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
255,Barnaby Lee's mother,None,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Lee family']",Death_Eaters
256,Barnaby Lee's father,None,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Lee family']",Death_Eaters
257,Igor Karkaroff,Pure-blood or Half-blood,Silver (formerly black),Blue,None,"Unknown length, wood and core",Headmaster of Durmstrang Institute (formerly),"['Death Eaters (formerly)Lord Voldemort (formerly)', 'Lord Voldemort (formerly)', 'Durmstrang Institute (formerly)']",Death_Eaters
258,Jugson,Pure-blood or Half-blood (most likely),None,None,None,None,None,"['Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
259,Lucius Malfoy,Pure-blood,White-blond,Grey,None,"['Elm and dragon heartstring (formerly)', ""Lucius Malfoy's second wand""]","['School Governor of Hogwarts School of Witchcraft and Wizardry (?-1993)', 'British Ministry of Magic official (?-1996)']","['Malfoy family', 'House of Black', 'British Ministry of Magic (formerly)', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slug ClubSlytherin', 'Slug Club', 'Slytherin', 'Lord Voldemort (formerly)Death Eaters (defected)', 'Death Eaters (defected)']",Death_Eaters
260,Hedwig's killer,Pure-blood or Half-blood (most likely),None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters']",Death_Eaters
261,Mulciber,Pure-blood or Half-blood,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters']",Death_Eaters
262,Mulciber II,Pure-blood or Half-blood,None,None,None,None,None,"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin']",Death_Eaters
263,Mr Goyle,Pure-blood,None,None,None,None,None,"['Goyle family', 'Lord VoldemortDeath Eaters', 'Death Eaters']",Death_Eaters
264,Gibbon,None,None,None,None,None,None,"['Lord Voldemort', 'Death Eaters']",Death_Eaters
265,Fenrir Greyback,None,Grey,None,None,"Unknown length, wood and core",None,"['Lord VoldemortDeath Eaters (unofficially)', 'Death Eaters (unofficially)', 'Snatchers', 'Werewolf army']",Death_Eaters
266,Evan Rosier,Pure-blood or Half-blood,None,None,None,None,None,"['Rosier family', 'Death Eaters', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Death_Eaters
267,Severus Snape,Half-blood,Black,Black,Doe,"Unknown length, wood and core","['Potions Master at Hogwarts (1981-1996)', 'Head of Slytherin House (1981-1997)', 'Professor of Defence Against the Dark Arts at Hogwarts (1996-1997)', 'Headmaster of Hogwarts (1997-1998)']","['Snape family', 'Prince family', 'Lily Potter', 'Harry Potter', 'Albus Dumbledore', 'Order of the Phoenix', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Lord Voldemort (formerly)Death Eaters (defected)', 'Death Eaters (defected)']",Death_Eaters
268,Corban Yaxley,Pure-blood or half-blood,Blond,Blue,None,"Unknown length, wood and core",Head of the Department of Magical Law Enforcement (formerly),"['Yaxley family', 'Death EatersLord Voldemort', 'Lord Voldemort', 'British Ministry of MagicDepartment of Magical Law EnforcementMuggle-Born Registration Commission', 'Department of Magical Law EnforcementMuggle-Born Registration Commission', 'Muggle-Born Registration Commission']",Death_Eaters
269,Bartemius Crouch Junior,Pure-blood or Half-blood,Straw blonde,None,None,"['Unknown length, wood and core (formerly)', ""Harry Potter's wand (briefly)"", ""Alastor Moody's wand""]",Professor of Defence Against the Dark Arts (as Alastor Moody) (1994-1995),"['Lord VoldemortDeath Eaters', 'Death Eaters', 'Hogwarts School of Witchcraft and Wizardry']",Death_Eaters
270,Mr Crabbe,Pure-blood,None,None,None,None,None,"['Crabbe family', 'Lord VoldemortDeath Eaters', 'Death Eaters']",Death_Eaters
271,Bellatrix Lestrange (née Black),Pure-blood,Black,None,None,"['12¾"", Walnut, dragon heartstring', 'Unknown 2nd wand']",None,"['House of Black', 'Lestrange family', 'Malfoy family', 'Hogwarts School of Witchcraft and Wizardry (formerly)Slytherin', 'Slytherin', 'Lord VoldemortDeath Eaters', 'Death Eaters']",Death_Eaters
272,Draco Lucius Malfoy,Pure-blood,Silver-blonde,Grey,None,"['10"", Hawthorn, unicorn hair (formerly)', 'Unknown length, wood and core (temporarily)', '15"", Elder, Thestral tail hair (never used)']",None,"['Malfoy family', 'House of Black', 'Greengrass family', ""Hogwarts School of Witchcraft and WizardrySlytherinSlytherin Quidditch teamInquisitorial Squad (formerly)Draco Malfoy's gang (formerly)"", 'Slytherin', 'Slytherin Quidditch team', 'Inquisitorial Squad (formerly)', ""Draco Malfoy's gang (formerly)"", 'Death Eaters (formerly)', 'Lord Voldemort (formerly)', 'British Ministry of Magic']",Death_Eaters
273,Augustus Rookwood,Pure-blood or half-blood,Brown/greying,None,None,None,Unspeakable (formerly),"['Death EatersLord Voldemort', 'Lord Voldemort', 'British Ministry of Magic (formerly)Department of Mysteries (formerly)', 'Department of Mysteries (formerly)']",Death_Eaters
274,Antonin Dolohov,Pure-blood or Half-blood,Dark,None,None,"Unknown length, wood and core",None,"['Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
275,Amycus Carrow,Pure-blood or Half-blood,None,None,None,"Unknown length, wood and core","['Professor of Dark Arts at Hogwarts (1997 - 1998)', 'Deputy Headmaster (1997 - 1998)']","['Carrow family', 'Death EatersLord Voldemort', 'Lord Voldemort', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin']",Death_Eaters
276,Avery,Pure-blood or Half-blood,None,None,None,None,None,"['Avery family', 'Hogwarts School of Witchcraft and WizardrySlytherin', 'Slytherin', 'Death EatersLord Voldemort', 'Lord Voldemort']",Death_Eaters
277,Mr Finnigan,None,None,None,None,None,None,None,None
278,Mrs Finnigan,None,None,None,None,None,None,None,None
279,Fergus,None,None,None,None,None,None,None,None
280,Mr Granger,None,None,None,None,None,None,None,None
281,Mrs Granger,None,None,None,None,None,None,None,None
282,Hector Dagworth-Granger,None,None,None,None,None,None,None,None
283,Ron Weasley,None,None,None,None,None,None,None,None
284,Hugo Granger-Weasley,None,None,None,None,None,None,None,None
285,Molly Weasley,None,None,None,None,None,None,None,None
286,Ginevra Potter,None,None,None,None,None,None,None,None
287,Harry Potter,None,None,None,None,None,None,None,None
288,Fred Weasley,None,None,None,None,None,None,None,None
289,Angelina Weasley,None,None,None,None,None,None,None,None
290,Fred Weasley II,None,None,None,None,None,None,None,None
291,Roxanne Weasley,None,None,None,None,None,None,None,None
292,Percy Weasley,None,None,None,None,None,None,None,None
293,Audrey Weasley,None,None,None,None,None,None,None,None
294,Molly Weasley II,None,None,None,None,None,None,None,None
295,Lucy Weasley,None,None,None,None,None,None,None,None
296,Charlie Weasley,None,None,None,None,None,None,None,None
297,Bill Weasley,None,None,None,None,None,None,None,None
298,Fleur Weasley,None,None,None,None,None,None,None,None
299,Victoire Weasley,None,None,None,None,None,None,None,None
300,Dominique Weasley,None,None,None,None,None,None,None,None
301,Louis Weasley,None,None,None,None,None,None,None,None
302,Nienna Robins,None,None,None,None,None,None,None,None
303,Ignotus Peverell,None,None,None,None,None,None,None,None
304,Linfred of Stinchcombe,None,None,None,None,None,None,None,None
305,Lily Potter,None,None,None,None,None,None,None,None
306,James Potter II,None,None,None,None,None,None,None,None
307,Albus Potter,None,None,None,None,None,None,None,None
308,William Weasley,None,None,None,None,None,None,None,None
309,Ronald Weasley,None,None,None,None,None,None,None,None
310,Hermione Granger,None,None,None,None,None,None,None,None
311,Fleamont family,None,None,None,None,None,None,None,None
312,House of Black,None,None,None,None,None,None,None,None
313,Mr Evans,None,None,None,None,None,None,None,None
314,Mrs Evans,None,None,None,None,None,None,None,None
315,Petunia Dursley,None,None,None,None,None,None,None,None
316,James Potter,None,None,None,None,None,None,None,None
317,Lily L. Potter,None,None,None,None,None,None,None,None
318,Vernon Dursley,None,None,None,None,None,None,None,None
319,Dudley Dursley,None,None,None,None,None,None,None,None
320,Mrs Dursley,None,None,None,None,None,None,None,None
321,Dursley children,None,None,None,None,None,None,None,None
322,Euphemia Potter,None,None,None,None,None,None,None,None
323,Potter family,None,None,None,None,None,None,None,None
324,Septimus Weasley,None,None,None,None,None,None,None,None
325,Cedrella Weasley,None,None,None,None,None,None,None,None
326,Lily Potter II,None,None,None,None,None,None,None,None
327,Hardwin Potter,None,None,None,None,None,None,None,None
328,Iolanthe Potter,None,None,None,None,None,None,None,None
329,Mrs Potter,None,None,None,None,None,None,None,None
330,Henry Potter,None,None,None,None,None,None,None,None
331,Charlus Potter,None,None,None,None,None,None,None,None
332,Dorea Potter,None,None,None,None,None,None,None,None
333,Possible nephew,None,None,None,None,None,None,None,None
334,Charlus's son,None,None,None,None,None,None,None,None
335,Tom Riddle,None,None,None,None,None,None,None,None
336,House of Gaunt,None,None,None,None,None,None,None,None
337,Evans family,None,None,None,None,None,None,None,None
338,Charlus Potter †,None,None,None,None,None,None,None,None
339,Dudley's children,None,None,None,None,None,None,None,None
340,Weasley family,None,None,None,None,None,None,None,None
341,Mr Wood,None,None,None,None,None,None,None,None
342,Mrs Wood,None,None,None,None,None,None,None,None
343,Jamie Wolpert,None,None,None,None,None,None,None,None
344,Mr Prewett,None,None,None,None,None,None,None,None
345,Mrs Prewett,None,None,None,None,None,None,None,None
346,Muriel,None,None,None,None,None,None,None,None
347,Ignatius Prewett,None,None,None,None,None,None,None,None
348,Lucretia Prewett,None,None,None,None,None,None,None,None
349,Two paternal uncles,None,None,None,None,None,None,None,None
350,Uncle,None,None,None,None,None,None,None,None
351,Cousin,None,None,None,None,None,None,None,None
352,Bilius,None,None,None,None,None,None,None,None
353,Fabian Prewett,None,None,None,None,None,None,None,None
354,Gideon Prewett,None,None,None,None,None,None,None,None
355,Monsieur Delacour,None,None,None,None,None,None,None,None
356,Apolline Delacour,None,None,None,None,None,None,None,None
357,Gabrielle Delacour,None,None,None,None,None,None,None,None
358,Tessie,None,None,None,None,None,None,None,None
359,Paternal uncles,None,None,None,None,None,None,None,None
360,Cedrella Black,None,None,None,None,None,None,None,None
361,Possible great-grandmother,None,None,None,None,None,None,None,None
362,Father,None,None,None,None,None,None,None,None
363,Mother,None,None,None,None,None,None,None,None
364,Second cousin,None,None,None,None,None,None,None,None
365,Nephew,None,None,None,None,None,None,None,None
366,Ginny Potter,None,None,None,None,None,None,None,None
367,Two brothers-in-law,None,None,None,None,None,None,None,None
368,Rubens Winikus,None,None,None,None,None,None,None,None
369,Black family,None,None,None,None,None,None,None,None
370,At least two paternal uncles,None,None,None,None,None,None,None,None
371,Grandmother,None,None,None,None,None,None,None,None
372,Emma Vane,None,None,None,None,None,None,None,None
373,Mrs Vane,None,None,None,None,None,None,None,None
374,Mr Warbeck,None,None,None,None,None,None,None,None
375,Mrs Warbeck,None,None,None,None,None,None,None,None
376,First husband,None,None,None,None,None,None,None,None
377,Second husband,None,None,None,None,None,None,None,None
378,Irving Warble,None,None,None,None,None,None,None,None
379,One son,None,None,None,None,None,None,None,None
380,2 brothers,None,None,None,None,None,None,None,None
381,Brother or brother-in-law,None,None,None,None,None,None,None,None
382,Arcturus Black II,None,None,None,None,None,None,None,None
383,Lysandra Black,None,None,None,None,None,None,None,None
384,Caspar Crouch,None,None,None,None,None,None,None,None
385,Charis Crouch,None,None,None,None,None,None,None,None
386,Bartemius Crouch Snr,None,None,None,None,None,None,None,None
387,Harfang Longbottom,None,None,None,None,None,None,None,None
388,Callidora Longbottom,None,None,None,None,None,None,None,None
389,Male cousin,None,None,None,None,None,None,None,None
390,2 female cousins,None,None,None,None,None,None,None,None
391,Female cousin,None,None,None,None,None,None,None,None
392,Father †,None,None,None,None,None,None,None,None
393,Mrs Thomas,None,None,None,None,None,None,None,None
394,Stepfather,None,None,None,None,None,None,None,None
395,Several half-siblings,None,None,None,None,None,None,None,None
396,Lina Tande,None,None,None,None,None,None,None,None
397,Google Stump,None,None,None,None,None,None,None,None
398,Mrs Pettigrew,None,None,None,None,None,None,None,None
399,Enid Pettigrew,None,None,None,None,None,None,None,None
400,Glanmore Peakes,None,None,None,None,None,None,None,None
401,Mr Patil,None,None,None,None,None,None,None,None
402,Mrs Patil,None,None,None,None,None,None,None,None
403,M. Mina,None,None,None,None,None,None,None,None
404,Mr Midgen,None,None,None,None,None,None,None,None
405,Female escort,None,None,None,None,None,None,None,None
406,Mr McLaggen,None,None,None,None,None,None,None,None
407,Tiberius,None,None,None,None,None,None,None,None
408,Robert McGonagall Snr,None,None,None,None,None,None,None,None
409,Isobel McGonagall,None,None,None,None,None,None,None,None
410,Malcolm McGonagall,None,None,None,None,None,None,None,None
411,Robert McGonagall Jnr,None,None,None,None,None,None,None,None
412,Elphinstone Urquart,None,None,None,None,None,None,None,None
413,Minerva,None,None,None,None,None,None,None,None
414,Nieces and nephews,None,None,None,None,None,None,None,None
415,William McGonagall,None,None,None,None,None,None,None,None
416,Mr Ross,None,None,None,None,None,None,None,None
417,Mrs Ross,None,None,None,None,None,None,None,None
418,Gianna Marie,None,None,None,None,None,None,None,None
419,Frank Longbottom,None,None,None,None,None,None,None,None
420,Alice Longbottom,None,None,None,None,None,None,None,None
421,Mr Longbottom,None,None,None,None,None,None,None,None
422,Augusta Longbottom,None,None,None,None,None,None,None,None
423,Algie Longbottom,None,None,None,None,None,None,None,None
424,Enid Longbottom,None,None,None,None,None,None,None,None
425,Lyall Lupin,None,None,None,None,None,None,None,None
426,Hope Lupin,None,None,None,None,None,None,None,None
427,Nymphadora Tonks,None,None,None,None,None,None,None,None
428,Edward Lupin,None,None,None,None,None,None,None,None
429,Andromeda Tonks,None,None,None,None,None,None,None,None
430,Edward Tonks,None,None,None,None,None,None,None,None
431,Tonks family,None,None,None,None,None,None,None,None
432,Lupin family,None,None,None,None,None,None,None,None
433,Mr Jordan,None,None,None,None,None,None,None,None
434,Gwenog Jones,None,None,None,None,None,None,None,None
435,Hestia Jones,None,None,None,None,None,None,None,None
436,Various Weasley in-laws,None,None,None,None,None,None,None,None
437,Mr Hagrid,None,None,None,None,None,None,None,None
438,Fridwulfa,None,None,None,None,None,None,None,None
439,Grawp,None,None,None,None,None,None,None,None
440,Grawp's father,None,None,None,None,None,None,None,None
441,Jim Hamilton,None,None,None,None,None,None,None,None
442,Granger family,None,None,None,None,None,None,None,None
443,Percival Dumbledore,None,None,None,None,None,None,None,None
444,Kendra Dumbledore,None,None,None,None,None,None,None,None
445,Aberforth Dumbledore,None,None,None,None,None,None,None,None
446,Ariana Dumbledore,None,None,None,None,None,None,None,None
447,Aurelius Dumbledore,None,None,None,None,None,None,None,None
448,Honoria,None,None,None,None,None,None,None,None
449,Mr Creevey,None,None,None,None,None,None,None,None
450,Elfrida Cragg,None,None,None,None,None,None,None,None
451,Three ex-wives,None,None,None,None,None,None,None,None
452,Seventeen rumoured children,None,None,None,None,None,None,None,None
453,Mr Brown,None,None,None,None,None,None,None,None
454,Mrs Brown,None,None,None,None,None,None,None,None
455,Kelly Brown,None,None,None,None,None,None,None,None
456,Ursula Black,None,None,None,None,None,None,None,None
457,Sirius Black II,None,None,None,None,None,None,None,None
458,Hesper Black,None,None,None,None,None,None,None,None
459,Cygnus Black II,None,None,None,None,None,None,None,None
460,Violetta Black,None,None,None,None,None,None,None,None
461,Arcturus Black III,None,None,None,None,None,None,None,None
462,Melania Black,None,None,None,None,None,None,None,None
463,Pollux Black,None,None,None,None,None,None,None,None
464,Irma Black,None,None,None,None,None,None,None,None
465,Regulus Black II,None,None,None,None,None,None,None,None
466,Cygnus Black III,None,None,None,None,None,None,None,None
467,Druella Black,None,None,None,None,None,None,None,None
468,Bellatrix Lestrange,None,None,None,None,None,None,None,None
469,Narcissa Malfoy,None,None,None,None,None,None,None,None
470,Delphini,None,None,None,None,None,None,None,None
471,Nymphadora Lupin,None,None,None,None,None,None,None,None
472,Draco Malfoy,None,None,None,None,None,None,None,None
473,Scorpius Malfoy,None,None,None,None,None,None,None,None
474,Mr Bell,None,None,None,None,None,None,None,None
475,Mrs Bell,None,None,None,None,None,None,None,None
476,Abbott,None,None,None,None,None,None,None,None
477,Mrs Abbott,None,None,None,None,None,None,None,None
478,Mr Kettleburn,None,None,None,None,None,None,None,None
479,Mrs Kettleburn,None,None,None,None,None,None,None,None
480,H. Knighton,None,None,None,None,None,None,None,None
481,Hepzibah Smith,None,None,None,None,None,None,None,None
482,Mr Smith,None,None,None,None,None,None,None,None
483,Sally Smith,None,None,None,None,None,None,None,None
484,Benjy Williams,None,None,None,None,None,None,None,None
485,Daphne Wenlock,None,None,None,None,None,None,None,None
486,Lucius Malfoy II,None,None,None,None,None,None,None,None
487,Remus Lupin,None,None,None,None,None,None,None,None
488,Yoshihiro Suzuki,None,None,None,None,None,None,None,None
489,Mrs Scamander,None,None,None,None,None,None,None,None
490,Newt Scamander,None,None,None,None,None,None,None,None
491,Tina Scamander,None,None,None,None,None,None,None,None
492,Porpentina Goldstein,None,None,None,None,None,None,None,None
493,Child,None,None,None,None,None,None,None,None
494,Rolf Scamander,None,None,None,None,None,None,None,None
495,Luna Lovegood,None,None,None,None,None,None,None,None
496,Mr Goldstein,None,None,None,None,None,None,None,None
497,Mrs Goldstein,None,None,None,None,None,None,None,None
498,Queenie Goldstein,None,None,None,None,None,None,None,None
499,Lorcan,None,None,None,None,None,None,None,None
500,Lysander,None,None,None,None,None,None,None,None
501,Scamander family,None,None,None,None,None,None,None,None
502,Grandfather,None,None,None,None,None,None,None,None
503,Sister,None,None,None,None,None,None,None,None
504,Brother,None,None,None,None,None,None,None,None
505,Daughter or daughter in law,None,None,None,None,None,None,None,None
506,Granddaughter,None,None,None,None,None,None,None,None
507,Grandson,None,None,None,None,None,None,None,None
508,Bhavana Patel,None,None,None,None,None,None,None,None
509,Nine generations of witches and warlocks,None,None,None,None,None,None,None,None
510,Mrs Haywood,None,None,None,None,None,None,None,None
511,Mr Haywood,None,None,None,None,None,None,None,None
512,Mathilda Grimblehawk,None,None,None,None,None,None,None,None
513,Mrs Finch-Fletchley,None,None,None,None,None,None,None,None
514,Lucretia Fawley,None,None,None,None,None,None,None,None
515,Marshall Fawley,None,None,None,None,None,None,None,None
516,Penelope Fawley,None,None,None,None,None,None,None,None
517,Addison Fawley,None,None,None,None,None,None,None,None
518,Melody Fawley,None,None,None,None,None,None,None,None
519,Kevin Entwhistle,None,None,None,None,None,None,None,None
520,Elora Dunn,None,None,None,None,None,None,None,None
521,Amos Diggory,None,None,None,None,None,None,None,None
